hid,quintile,emp_status,region,housing,rururb,disab,disab_def,econat,econat_def,age,rank_tot,district,hhsize,mar_status,mar_status_def,gender,povqual,pstatus,pstatus_def,emp_status_def,edu_y,ethnic,reli,wt,ht,bmi,reg
70003/13,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,34,22.43925,102,3,1,Married,Female,BECE,Non poor,1,1,9, Nzema, Other Christian,73.8,154,31.11823242,Western
70003/14,4,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,47,13.61252,102,3,1,Married,Male,Voc/Tech/Teacher,Non poor,1,4,0, Nzema, Pentecostal/Charismatic,77.6,166,28.16083612,Western
70004/01,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,22,15.82749,103,1,6,Never married,Male,None,Non poor,1,1,7, Nzema, Pentecostal/Charismatic,61.15,149,27.54380433,Western
70004/02,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,54,23.6385,103,1,4,Divorced,Female,MSLC,Non poor,1,1,10, Nzema, Catholic,73.56,158,29.46643166,Western
70004/03,4,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,24,14.77269,103,2,6,Never married,Male,Voc/Tech/Teacher,Non poor,1,4,15, Fante, Pentecostal/Charismatic,89.05,173,29.75375054,Western
70004/05,1,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,49,4.166983,103,6,4,Divorced,Female,None,Poor,0,2,3, Fante, Protestant,46.57,162,17.74500838,Western
70004/06,2,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,45,6.328144,103,3,1,Married,Male,None,Non poor,1,2,4, Nzema, Islam,0,0,0,Western
70004/07,3,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,44,9.969745,103,3,5,Widowed,Female,None,Non poor,1,1,0, Nzema, Protestant,66.45,157,26.9584973,Western
70004/08,2,Unemployed,1,Owning,Urban,2. Non Pwds,1,2,Unemployed,52,5.117675,103,6,1,Married,Male,MSLC,Non poor,1,6,10, Nzema, Pentecostal/Charismatic,57.4,164,21.34146341,Western
70004/09,5,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,68,16.57086,103,1,5,Widowed,Female,None,Non poor,1,2,4, Nzema, Pentecostal/Charismatic,53.3,163,20.06097331,Western
70004/10,4,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,26,15.33408,103,1,6,Never married,Male,None,Non poor,1,2,7, Nzema, Pentecostal/Charismatic,62.75,173.5,20.84561785,Western
70004/11,3,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,57,10.30106,103,7,1,Married,Male,MSLC,Non poor,1,2,10, Fante, Protestant,104.25,172,35.23864251,Western
70004/12,1,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,40,3.677219,103,6,4,Divorced,Female,None,Poor,0,2,0, Nzema, Protestant,57.2,163,21.52884941,Western
70004/14,2,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,45,6.824451,103,6,5,Widowed,Female,BECE,Non poor,1,1,9, Nzema, Catholic,67,157.5,27.00932225,Western
70004/15,3,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,62,9.965876,103,6,1,Married,Male,MSLC,Non poor,1,2,10, Nzema, Catholic,89.5,169,31.3364378,Western
70005/01,3,Other Inactive,1,Owning,Urban,2. Non Pwds,1,3,Not in labor force,56,8.404165,104,10,1,Married,Male,None,Non poor,1,5,0, Fante, Islam,70.3,165,25.82185491,Western
70005/02,5,Public Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,33,40.22516,104,1,6,Never married,Male,Tertiary,Non poor,1,3,15, Nanumba, Islam,66,170,22.83737024,Western
70005/03,4,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,70,14.59717,104,1,5,Widowed,Female,None,Non poor,1,2,0, Ahanta, No religion,72,167,25.81663021,Western
70005/04,3,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,30,8.73537,104,1,1,Married,Male,None,Non poor,1,1,0,, Islam,74,189,20.71610537,Western
70005/05,3,Public Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,52,8.445961,104,3,1,Married,Male,Voc/Tech/Teacher,Non poor,1,3,15, Fante, Catholic,0,0,0,Western
70005/06,2,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,40,5.88454,104,3,1,Married,Male,None,Non poor,1,4,0, Akuapem, No religion,0,0,0,Western
70005/07,3,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,26,10.10818,104,3,6,Never married,Male,BECE,Non poor,1,1,9, Ahanta, Pentecostal/Charismatic,45.05,155,18.75130073,Western
70005/08,2,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,75,4.79088,104,3,5,Widowed,Female,None,Poor,0,1,0, Ewe, No religion,45.35,159.5,17.82608268,Western
70005/09,3,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,59,8.196089,104,13,5,Widowed,Female,None,Non poor,1,1,4, Fante, Islam,53.55,159,21.18191527,Western
70005/10,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,32,11.46153,104,4,4,Divorced,Female,Voc/Tech/Teacher,Non poor,1,1,15, Ewe, Protestant,63.5,161,24.49751167,Western
70005/11,5,Private Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,46,21.42586,104,1,4,Divorced,Male,None,Non poor,1,4,7, Ewe, Pentecostal/Charismatic,68,187,19.44579485,Western
70005/12,4,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,37,12.62918,104,6,1,Married,Male,SSS/Secondary,Non poor,1,4,12, Wasa, Other Christian,0,0,0,Western
70005/13,3,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,50,8.566089,104,3,4,Divorced,Female,MSLC,Non poor,1,1,10, Ahanta, Protestant,63.1,152,27.31128809,Western
70005/14,5,Public Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,55,23.8808,104,1,2,Consensual Union,Male,MSLC,Non poor,1,3,10, Ewe, Pentecostal/Charismatic,76.06,185,22.22352082,Western
70005/15,4,Public Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,45,11.92728,104,5,1,Married,Male,SSS/Secondary,Non poor,1,3,12, Ewe, Protestant,0,0,0,Western
70006/01,5,Retired,1,Owning,Urban,2. Non Pwds,1,3,Not in labor force,67,18.20984,105,4,1,Married,Male,MSLC,Non poor,1,7,10, Fante, Catholic,71.9,165,26.40955005,Western
70006/02,5,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,27,21.4056,105,1,6,Never married,Male,Tertiary,Non poor,1,4,15, Fante, Protestant,70.2,182,21.19309262,Western
70006/03,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,36,19.69336,105,1,6,Never married,Male,BECE,Non poor,1,1,9, Nzema, Pentecostal/Charismatic,84.3,182,25.4498249,Western
70006/04,4,Unemployed,1,Rent-free,Urban,2. Non Pwds,1,2,Unemployed,59,11.0404,105,4,4,Divorced,Female,None,Non poor,1,6,7, Nzema, Pentecostal/Charismatic,0,0,0,Western
70006/05,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,50,16.07281,105,2,4,Divorced,Female,None,Non poor,1,1,9, Ewe, Pentecostal/Charismatic,68.75,165,25.25252525,Western
70006/06,5,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,29,20.2844,105,1,1,Married,Male,BECE,Non poor,1,4,9, Fante, Protestant,65.3,164,24.27870315,Western
70006/07,2,Private Employee,1,Renting,Urban,,1,1,Employed,44,7.011588,105,2,1,Married,Male,Tertiary,Non poor,1,4,15, Akyem, Pentecostal/Charismatic,0,0,0,Western
70006/08,5,Public Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,52,21.67306,105,3,1,Married,Male,Tertiary,Non poor,1,3,15, Ewe, Pentecostal/Charismatic,29,121.92,19.50958763,Western
70006/09,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,39,14.43005,105,1,1,Married,Male,BECE,Non poor,1,1,11, Fante, Pentecostal/Charismatic,0,0,0,Western
70006/10,5,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,46,17.68317,105,4,1,Married,Male,SSS/Secondary,Non poor,1,1,13, Fante, Pentecostal/Charismatic,83,176,26.79493802,Western
70006/12,5,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,50,17.69508,105,1,4,Divorced,Male,MSLC,Non poor,1,4,10, Ahanta, Pentecostal/Charismatic,68.5,170,23.70242215,Western
70006/13,1,Unemployed,1,Renting,Urban,,1,2,Unemployed,80,4.323931,105,5,5,Widowed,Male,None,Poor,0,6,0, Nzema, Protestant,0,0,0,Western
70006/14,5,Private Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,23,34.41917,105,1,6,Never married,Male,Voc/Tech/Teacher,Non poor,1,4,15, Ahanta, Protestant,65.8,168,23.31349206,Western
70006/15,4,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,62,14.57344,105,2,3,Separated,Male,Voc/Tech/Teacher,Non poor,1,4,15, Ewe, Other Christian,86.5,182,26.11399589,Western
70007/01,4,Private Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,25,14.10794,105,1,6,Never married,Male,SSS/Secondary,Non poor,1,4,12, Fante, Protestant,58.75,164.5,21.71081198,Western
70007/02,5,Unemployed,1,Renting,Urban,2. Non Pwds,1,2,Unemployed,55,19.80792,105,2,5,Widowed,Male,MSLC,Non poor,1,6,10, Fante, Protestant,0,0,0,Western
70007/03,4,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,44,11.06981,105,4,1,Married,Female,Voc/Tech/Teacher,Non poor,1,5,15, Ahanta, Protestant,102.85,164,38.23988697,Western
70007/04,4,Unemployed,1,Renting,Urban,2. Non Pwds,1,2,Unemployed,41,10.94683,105,2,4,Divorced,Male,BECE,Non poor,1,6,9, Fante, Protestant,92.15,175,30.08979592,Western
70007/05,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,46,7.314728,105,4,1,Married,Male,MSLC,Non poor,1,4,10, Nzema, Pentecostal/Charismatic,0,0,0,Western
70007/06,4,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,56,11.01906,105,3,4,Divorced,Female,None,Non poor,1,1,0, Asante, Protestant,0,0,0,Western
70007/07,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,34,8.602902,105,6,1,Married,Male,SSS/Secondary,Non poor,1,4,12, Asante, No religion,0,0,0,Western
70007/08,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,45,8.360913,105,5,1,Married,Male,MSLC,Non poor,1,4,10, Wasa, Islam,91,180,28.08641975,Western
70007/10,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,50,11.31523,105,4,1,Married,Male,MSLC,Non poor,1,1,10, Fante, Pentecostal/Charismatic,0,0,0,Western
70007/11,2,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,50,7.080313,105,6,1,Married,Male,MSLC,Non poor,1,1,10, Fante, Pentecostal/Charismatic,0,0,0,Western
70007/12,3,Unemployed,1,Rent-free,Urban,2. Non Pwds,1,2,Unemployed,56,7.235118,105,5,1,Married,Male,None,Non poor,1,6,9, Fante, Protestant,80.5,176.5,25.84083012,Western
70007/13,3,Other Inactive,1,Rent-free,Urban,2. Non Pwds,1,3,Not in labor force,70,8.188363,105,3,4,Divorced,Female,None,Non poor,1,5,0, Fante, Protestant,0,0,0,Western
70007/14,3,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,40,8.403329,105,4,5,Widowed,Female,None,Non poor,1,1,0, Asante, Pentecostal/Charismatic,0,0,0,Western
70007/15,3,Public Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,54,8.915966,105,5,1,Married,Male,MSLC,Non poor,1,3,10, Akyem, Protestant,0,0,0,Western
70008/01,2,Other Inactive,1,Renting,Urban,,1,3,Not in labor force,26,4.880355,105,4,1,Married,Male,None,Non poor,1,5,0, Ewe, Pentecostal/Charismatic,0,0,0,Western
70008/02,3,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,76,9.128856,105,2,1,Married,Male,SSS/Secondary,Non poor,1,5,11, Asante, Pentecostal/Charismatic,46.8,162,17.83264746,Western
70008/03,3,Unemployed,1,Renting,Urban,,1,2,Unemployed,57,9.047858,105,3,1,Married,Male,Voc/Tech/Teacher,Non poor,1,6,15, Fante, Pentecostal/Charismatic,0,0,0,Western
70008/04,4,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,23,12.73935,105,1,6,Never married,Male,Voc/Tech/Teacher,Non poor,1,4,15, Fante, Protestant,64,167,22.94811574,Western
70008/06,3,Unemployed,1,Renting,Urban,,1,2,Unemployed,31,10.31886,105,3,1,Married,Male,SSS/Secondary,Non poor,1,6,12, Fante, Pentecostal/Charismatic,0,0,0,Western
70008/07,3,Unemployed,1,Renting,Urban,2. Non Pwds,1,2,Unemployed,72,8.461069,105,1,6,Never married,Male,None,Non poor,1,6,8, Akyem, No religion,41.9,152,18.13538781,Western
70008/08,2,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,54,4.791895,105,4,1,Married,Male,MSLC,Poor,0,1,10, Fante, Pentecostal/Charismatic,69.75,178,22.01426588,Western
70008/09,2,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,45,4.839478,105,3,4,Divorced,Male,SSS/Secondary,Non poor,1,1,12, Fante, Protestant,59.8,178,18.87387956,Western
70008/10,2,Other Inactive,1,Owning,Urban,1. PWD,0,3,Not in labor force,49,5.647225,105,6,4,Divorced,Female,MSLC,Non poor,1,5,10, Fante, Pentecostal/Charismatic,0,0,0,Western
70008/11,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,32,14.99835,105,1,6,Never married,Male,Voc/Tech/Teacher,Non poor,1,1,15, Fante, Pentecostal/Charismatic,64.25,165,23.59963269,Western
70008/12,2,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,48,6.395315,105,7,5,Widowed,Female,None,Non poor,1,1,9, Ga, Pentecostal/Charismatic,0,0,0,Western
70008/13,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,35,13.85734,105,5,4,Divorced,Female,BECE,Non poor,1,1,9, Fante, Catholic,79.4,173,26.52945304,Western
70008/14,4,Unemployed,1,Renting,Urban,2. Non Pwds,1,2,Unemployed,43,11.4072,105,5,1,Married,Male,Voc/Tech/Teacher,Non poor,1,6,15, Fante, Pentecostal/Charismatic,69.55,170,24.06574394,Western
70008/15,2,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,68,6.77903,105,3,4,Divorced,Female,MSLC,Non poor,1,1,10, Fante, Catholic,68.7,152,29.7351108,Western
70009/01,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,30,9.859444,105,2,6,Never married,Female,BECE,Non poor,1,4,9, Ewe, Other Christian,76.65,157,31.09659621,Western
70009/02,2,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,52,5.972702,105,4,1,Married,Male,MSLC,Non poor,1,4,10, Asen (Assin), No religion,0,0,0,Western
70009/03,2,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,57,6.307906,105,7,1,Married,Male,MSLC,Non poor,1,4,10, Fante, Other Christian,0,0,0,Western
70009/04,4,Retired,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,76,10.61666,105,1,1,Married,Male,MSLC,Non poor,1,7,10, Akyem, Islam,57.55,168.5,20.26961583,Western
70009/06,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,51,14.5032,105,1,5,Widowed,Female,None,Non poor,1,1,9, Ewe, Pentecostal/Charismatic,0,0,0,Western
70009/07,1,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,64,4.233476,105,3,1,Married,Male,MSLC,Poor,0,1,9, Akyem, Other Christian,57.7,168,20.4435941,Western
70009/08,4,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,32,15.95975,105,2,4,Divorced,Female,None,Non poor,1,1,4, Zabrama, Islam,61,160,23.828125,Western
70009/09,2,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,60,5.802986,105,6,1,Married,Male,MSLC,Non poor,1,4,10, Akwamu, Protestant,0,0,0,Western
70009/10,2,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,47,7.10912,105,2,6,Never married,Female,None,Non poor,1,1,1, Ewe, Pentecostal/Charismatic,0,0,0,Western
70009/11,2,Unemployed,1,Renting,Urban,2. Non Pwds,1,2,Unemployed,20,5.13781,105,1,6,Never married,Male,SSS/Secondary,Non poor,1,6,12," Nankansi, Talensi & Gurense (Frafra)", Pentecostal/Charismatic,57.55,168.5,20.26961583,Western
70009/12,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,41,9.270616,105,5,1,Married,Male,BECE,Non poor,1,4,9, Nzema, Islam,87.45,164,32.51412849,Western
70009/14,3,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,63,8.314469,105,6,1,Married,Male,MSLC,Non poor,1,4,10, Ewe, No religion,0,0,0,Western
70009/15,3,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,34,8.373385,105,6,1,Married,Male,Voc/Tech/Teacher,Non poor,1,4,15, Dagomba, Islam,80.1,151,35.13003816,Western
70010/02,5,Public Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,35,26.99784,105,4,1,Married,Female,Voc/Tech/Teacher,Non poor,1,3,15, Boron (Brong) (including Banda), Protestant,77.4,156.3,31.68275979,Western
70010/03,5,Other Inactive,1,Owning,Urban,2. Non Pwds,1,3,Not in labor force,75,28.47659,105,1,5,Widowed,Female,None,Non poor,1,5,0, Ahanta, Pentecostal/Charismatic,84.3,163,31.72870639,Western
70010/04,4,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,64,13.54695,105,4,1,Married,Male,MSLC,Non poor,1,5,10, Fante, Pentecostal/Charismatic,78.5,167.5,27.97950546,Western
70010/05,4,Unemployed,1,Owning,Urban,2. Non Pwds,1,2,Unemployed,59,15.37191,105,3,1,Married,Male,MSLC,Non poor,1,6,10," Awutu, Efutu, Senya, Breku", Pentecostal/Charismatic,63.1,163,23.74948248,Western
70010/06,4,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,57,12.60804,105,4,1,Married,Male,Voc/Tech/Teacher,Non poor,1,1,15, Fante, Pentecostal/Charismatic,0,0,0,Western
70010/07,2,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,42,6.527176,105,7,1,Married,Male,MSLC,Non poor,1,4,10, Fante, Pentecostal/Charismatic,0,0,0,Western
